,dist_code,month,documents_registered_cnt,documents_registered_rev,estamps_challans_cnt,estamps_challans_rev,district,Mmm,quarter,fiscal_year
281,18_1,12/1/2019,5453,77453907,0,0,Nizamabad,Dec,Q3,2019
282,19_2,12/1/2019,1762,19964775,0,0,Nirmal,Dec,Q3,2019
283,21_1,12/1/2019,5440,163289204,0,0,Hanumakonda,Dec,Q3,2019
284,15_1,12/1/2019,25924,2050739767,0,0,Rangareddy,Dec,Q3,2019
285,17_1,12/1/2019,2598,38030142,0,0,Medak,Dec,Q3,2019
286,21_3,12/1/2019,2604,31042865,0,0,Jangoan,Dec,Q3,2019
287,15_3,12/1/2019,2359,30804967,0,0,Vikarabad,Dec,Q3,2019
288,14_1,1/1/2020,3952,51248313,0,0,Mahabubnagar,Jan,Q4,2019
289,17_3,1/1/2020,4755,38915554,0,0,Siddipet,Jan,Q4,2019
290,20_3,1/1/2020,1917,19918125,0,0,Rajanna Sircilla,Jan,Q4,2019
291,21_5,1/1/2020,1197,15373698,0,0,Mahabubabad,Jan,Q4,2019
292,23_1,1/1/2020,5881,68267206,0,0,Nalgonda,Jan,Q4,2019
293,23_3,1/1/2020,6260,88354661,0,0,Yadadri Bhuvanagiri,Jan,Q4,2019
294,20_1,1/1/2020,3236,63524654,0,0,Karimnagar,Jan,Q4,2019
295,20_4,1/1/2020,1528,31381830,0,0,Peddapalli,Jan,Q4,2019
296,16_1,1/1/2020,5293,658828489,0,0,Hyderabad,Jan,Q4,2019
297,14_3,1/1/2020,2730,18293182,0,0,Nagarkurnool,Jan,Q4,2019
298,15_2,1/1/2020,11954,935715174,0,0,Medchal_Malkajgiri,Jan,Q4,2019
299,21_6,1/1/2020,624,5881707,0,0,Mulugu,Jan,Q4,2019
300,22_2,1/1/2020,464,12467121,0,0,Bhadradri Kothagudem,Jan,Q4,2019
301,20_2,1/1/2020,2205,26984780,0,0,Jagtial,Jan,Q4,2019
302,14_2,1/1/2020,1921,17614714,0,0,Jogulamba Gadwal,Jan,Q4,2019
